,asset,free,locked
64,KMD,0.00000000,0.00000000
65,RCN,0.00000000,0.00000000
66,EDO,0.00000000,0.00000000
67,DATA,0.00000000,0.00000000
68,DLT,0.00000000,0.00000000
69,MANA,0.00000000,0.00000000
70,PPT,0.00000000,0.00000000
71,RDN,0.00000000,0.00000000
72,GXS,0.00000000,0.00000000
73,AMB,0.00000000,0.00000000
74,ARN,0.00000000,0.00000000
75,BCPT,0.00000000,0.00000000
76,CND,0.00000000,0.00000000
77,GVT,0.00000000,0.00000000
78,POE,0.00000000,0.00000000
79,BTS,0.00000000,0.00000000
80,FUEL,0.00000000,0.00000000
81,XZC,0.00000000,0.00000000
82,QSP,0.00000000,0.00000000
83,LSK,0.00000000,0.00000000
84,BCD,0.00000000,0.00000000
85,TNB,0.00000000,0.00000000
86,ADA,0.00000000,0.00000000
87,LEND,0.00000000,0.00000000
88,XLM,0.00000000,0.00000000
89,CMT,0.00000000,0.00000000
90,WAVES,0.00000000,0.00000000
91,WABI,0.00000000,0.00000000
92,GTO,0.00000000,0.00000000
93,ICX,0.00000000,0.00000000
94,OST,0.00000000,0.00000000
95,ELF,0.00000000,0.00000000
96,AION,0.00000000,0.00000000
97,WINGS,0.00000000,0.00000000
98,BRD,0.00000000,0.00000000
99,NEBL,0.00000000,0.00000000
100,NAV,0.00000000,0.00000000
101,VIBE,0.00000000,0.00000000
102,LUN,0.00000000,0.00000000
103,TRIG,0.00000000,0.00000000
104,APPC,0.00000000,0.00000000
105,CHAT,0.00000000,0.00000000
106,RLC,0.00000000,0.00000000
107,INS,0.00000000,0.00000000
108,PIVX,0.00000000,0.00000000
109,IOST,0.00000000,0.00000000
110,STEEM,0.00000000,0.00000000
111,NANO,0.00000000,0.00000000
112,AE,0.00000000,0.00000000
113,VIA,0.00000000,0.00000000
114,BLZ,0.00000000,0.00000000
115,SYS,0.00000000,0.00000000
116,RPX,0.00000000,0.00000000
117,NCASH,0.00000000,0.00000000
118,POA,0.00000000,0.00000000
119,ONT,0.00000000,0.00000000
120,ZIL,0.00000000,0.00000000
121,STORM,0.00000000,0.00000000
122,XEM,0.00000000,0.00000000
123,WAN,0.00000000,0.00000000
124,WPR,0.00000000,0.00000000
125,QLC,0.00000000,0.00000000
126,GRS,0.00000000,0.00000000
127,CLOAK,0.00000000,0.00000000
128,LOOM,0.00000000,0.00000000
129,BCN,0.00000000,0.00000000
130,TUSD,0.00000000,0.00000000
131,ZEN,0.00000000,0.00000000
132,SKY,0.00000000,0.00000000
133,THETA,0.00000000,0.00000000
134,IOTX,0.00000000,0.00000000
135,QKC,0.00000000,0.00000000
136,AGI,0.00000000,0.00000000
137,NXS,0.00000000,0.00000000
138,SC,0.00000000,0.00000000
139,NPXS,0.00000000,0.00000000
140,KEY,0.00000000,0.00000000
141,NAS,0.00000000,0.00000000
142,MFT,0.00000000,0.00000000
143,DENT,0.00000000,0.00000000
144,IQ,0.00000000,0.00000000
145,ARDR,0.00000000,0.00000000
146,HOT,0.00000000,0.00000000
147,VET,0.00000000,0.00000000
148,DOCK,0.00000000,0.00000000
149,POLY,0.00000000,0.00000000
150,VTHO,0.00000000,0.00000000
151,ONG,0.00000000,0.00000000
152,PHX,0.00000000,0.00000000
153,HC,0.00000000,0.00000000
154,GO,0.00000000,0.00000000
155,PAX,0.00000000,0.00000000
156,RVN,0.00000000,0.00000000
157,DCR,0.00000000,0.00000000
158,USDC,0.00000000,0.00000000
159,MITH,0.00000000,0.00000000
160,BCHABC,0.00000000,0.00000000
161,BCHSV,0.00000000,0.00000000
162,REN,0.00000000,0.00000000
163,BTT,0.00000000,0.00000000
164,USDS,0.00000000,0.00000000
165,FET,0.00000000,0.00000000
166,TFUEL,0.00000000,0.00000000
167,CELR,0.00000000,0.00000000
168,MATIC,0.00000000,0.00000000
169,ATOM,0.00000000,0.00000000
170,PHB,0.00000000,0.00000000
171,ONE,0.00000000,0.00000000
172,FTM,0.00000000,0.00000000
173,BTCB,0.00000000,0.00000000
174,USDSB,0.00000000,0.00000000
175,CHZ,0.00000000,0.00000000
176,COS,0.00000000,0.00000000
177,ALGO,0.00000000,0.00000000
178,ERD,0.00000000,0.00000000
179,DOGE,0.00000000,0.00000000
180,BGBP,0.00000000,0.00000000
181,DUSK,0.00000000,0.00000000
182,ANKR,0.00000000,0.00000000
183,WIN,0.00000000,0.00000000
184,TUSDB,0.00000000,0.00000000
185,COCOS,0.00000000,0.00000000
186,PERL,0.00000000,0.00000000
187,TOMO,0.00000000,0.00000000
188,BUSD,0.00000000,0.00000000
189,BAND,0.00000000,0.00000000
190,BEAM,0.00000000,0.00000000
191,HBAR,0.00000000,0.00000000
192,XTZ,0.00000000,0.00000000
193,NGN,0.00000000,0.00000000
194,DGB,0.00000000,0.00000000
195,NKN,0.00000000,0.00000000
196,GBP,0.00000000,0.00000000
197,EUR,0.00000000,0.00000000
198,KAVA,0.00000000,0.00000000
199,RUB,0.00000000,0.00000000
200,UAH,0.00000000,0.00000000
201,ARPA,0.00000000,0.00000000
202,TRY,0.00000000,0.00000000
203,CTXC,0.00000000,0.00000000
204,AERGO,0.00000000,0.00000000
205,BCH,0.00000000,0.00000000
206,TROY,0.00000000,0.00000000
207,ARS,0.00000000,0.00000000
208,BRL,0.00000000,0.00000000
209,VITE,0.00000000,0.00000000
210,FTT,0.00000000,0.00000000
211,PLN,0.00000000,0.00000000
212,RON,0.00000000,0.00000000
213,AUD,0.00000000,0.00000000
214,OGN,0.00000000,0.00000000
215,DREP,0.00000000,0.00000000
216,BULL,0.00000000,0.00000000
217,BEAR,0.00000000,0.00000000
218,ETHBULL,0.00000000,0.00000000
219,ETHBEAR,0.00000000,0.00000000
220,XRPBULL,0.00000000,0.00000000
221,XRPBEAR,0.00000000,0.00000000
222,EOSBULL,0.00000000,0.00000000
223,EOSBEAR,0.00000000,0.00000000
224,TCT,0.00000000,0.00000000
225,WRX,0.00000000,0.00000000
226,LTO,0.00000000,0.00000000
227,ZAR,0.00000000,0.00000000
228,MBL,0.00000000,0.00000000
229,COTI,0.00000000,0.00000000
230,BKRW,0.00000000,0.00000000
231,BNBBULL,0.00000000,0.00000000
232,BNBBEAR,0.00000000,0.00000000
233,HIVE,0.00000000,0.00000000
234,STPT,0.00000000,0.00000000
235,SOL,0.00000000,0.00000000
236,IDRT,0.00,0.00
237,CTSI,0.00000000,0.00000000
238,CHR,0.00000000,0.00000000
239,BTCUP,0.00000000,0.00000000
240,BTCDOWN,0.00000000,0.00000000
241,HNT,0.00000000,0.00000000
242,JST,0.00000000,0.00000000
243,FIO,0.00000000,0.00000000
244,BIDR,0.00,0.00
245,STMX,0.00000000,0.00000000
246,MDT,0.00000000,0.00000000
247,PNT,0.00000000,0.00000000
248,COMP,0.00000000,0.00000000
249,IRIS,0.00000000,0.00000000
250,MKR,0.00000000,0.00000000
251,SXP,0.00000000,0.00000000
252,SNX,0.00000000,0.00000000
253,DAI,0.00000000,0.00000000
254,ETHUP,0.00000000,0.00000000
255,ETHDOWN,0.00000000,0.00000000
256,ADAUP,0.00000000,0.00000000
257,ADADOWN,0.00000000,0.00000000
258,LINKUP,0.00000000,0.00000000
259,LINKDOWN,0.00000000,0.00000000
260,DOT,0.00000000,0.00000000
261,RUNE,0.00000000,0.00000000
262,BNBUP,0.00000000,0.00000000
263,BNBDOWN,0.00000000,0.00000000
264,XTZUP,0.00000000,0.00000000
265,XTZDOWN,0.00000000,0.00000000
266,AVA,0.00000000,0.00000000
267,BAL,0.00000000,0.00000000
268,YFI,0.00000000,0.00000000
269,SRM,0.00000000,0.00000000
270,ANT,0.00000000,0.00000000
271,CRV,0.00000000,0.00000000
272,SAND,0.00000000,0.00000000
273,OCEAN,0.00000000,0.00000000
274,NMR,0.00000000,0.00000000
275,LUNA,0.00000000,0.00000000
276,IDEX,0.00000000,0.00000000
277,RSR,0.00000000,0.00000000
278,PAXG,0.00000000,0.00000000
279,WNXM,0.00000000,0.00000000
280,TRB,0.00000000,0.00000000
281,EGLD,0.00000000,0.00000000
282,BZRX,0.00000000,0.00000000
283,WBTC,0.00000000,0.00000000
284,KSM,0.00000000,0.00000000
285,SUSHI,0.00000000,0.00000000
286,YFII,0.00000000,0.00000000
287,DIA,0.00000000,0.00000000
288,BEL,0.00000000,0.00000000
289,UMA,0.00000000,0.00000000
290,EOSUP,0.00000000,0.00000000
291,TRXUP,0.00000000,0.00000000
292,EOSDOWN,0.00000000,0.00000000
293,TRXDOWN,0.00000000,0.00000000
294,XRPUP,0.00000000,0.00000000
295,XRPDOWN,0.00000000,0.00000000
296,DOTUP,0.00000000,0.00000000
297,DOTDOWN,0.00000000,0.00000000
298,NBS,0.00000000,0.00000000
299,WING,0.00000000,0.00000000
300,SWRV,0.00000000,0.00000000
301,LTCUP,0.00000000,0.00000000
302,LTCDOWN,0.00000000,0.00000000
303,CREAM,0.00000000,0.00000000
304,UNI,0.00000000,0.00000000
305,OXT,0.00000000,0.00000000
306,SUN,0.00000000,0.00000000
307,AVAX,0.00000000,0.00000000
308,BURGER,0.00000000,0.00000000
309,BAKE,0.00000000,0.00000000
310,FLM,0.00000000,0.00000000
311,SCRT,0.00000000,0.00000000
312,XVS,0.00000000,0.00000000
313,CAKE,0.00000000,0.00000000
314,SPARTA,0.00000000,0.00000000
315,UNIUP,0.00000000,0.00000000
316,UNIDOWN,0.00000000,0.00000000
317,ALPHA,0.00000000,0.00000000
318,ORN,0.00000000,0.00000000
319,UTK,0.00000000,0.00000000
320,NEAR,0.00000000,0.00000000
321,VIDT,0.00000000,0.00000000
322,AAVE,0.00000000,0.00000000
323,FIL,0.00000000,0.00000000
324,SXPUP,0.00000000,0.00000000
325,SXPDOWN,0.00000000,0.00000000
326,INJ,0.00000000,0.00000000
327,FILDOWN,0.00000000,0.00000000
328,FILUP,0.00000000,0.00000000
329,YFIUP,0.00000000,0.00000000
330,YFIDOWN,0.00000000,0.00000000
331,CTK,0.00000000,0.00000000
332,EASY,0.00000000,0.00000000
333,AUDIO,0.00000000,0.00000000
334,BCHUP,0.00000000,0.00000000
335,BCHDOWN,0.00000000,0.00000000
336,BOT,0.00000000,0.00000000
337,AXS,0.00000000,0.00000000
338,AKRO,0.00000000,0.00000000
339,HARD,0.00000000,0.00000000
340,KP3R,0.00000000,0.00000000
341,RENBTC,0.00000000,0.00000000
342,SLP,0.00000000,0.00000000
343,STRAX,0.00000000,0.00000000
344,UNFI,0.00000000,0.00000000
345,CVP,0.00000000,0.00000000
346,BCHA,0.00000000,0.00000000
347,FOR,0.00000000,0.00000000
348,FRONT,0.00000000,0.00000000
349,ROSE,0.00000000,0.00000000
350,MDX,0.00000000,0.00000000
351,HEGIC,0.00000000,0.00000000
352,AAVEUP,0.00000000,0.00000000
353,AAVEDOWN,0.00000000,0.00000000
354,PROM,0.00000000,0.00000000
355,BETH,0.00000000,0.00000000
356,SKL,0.00000000,0.00000000
357,GLM,0.00000000,0.00000000
358,SUSD,0.00000000,0.00000000
359,COVER,0.00000000,0.00000000
360,GHST,0.00000000,0.00000000
361,SUSHIUP,0.00000000,0.00000000
362,SUSHIDOWN,0.00000000,0.00000000
363,XLMUP,0.00000000,0.00000000
364,XLMDOWN,0.00000000,0.00000000
365,DF,0.00000000,0.00000000
366,JUV,0.00000000,0.00000000
367,PSG,0.00000000,0.00000000
368,BVND,0.00,0.00
369,GRT,0.00000000,0.00000000
370,CELO,0.00000000,0.00000000
371,TWT,0.00000000,0.00000000
372,REEF,0.00000000,0.00000000
373,OG,0.00000000,0.00000000
374,ATM,0.00000000,0.00000000
375,ASR,0.00000000,0.00000000
376,1INCH,0.00000000,0.00000000
377,RIF,0.00000000,0.00000000
378,BTCST,0.00000000,0.00000000
379,TRU,0.00000000,0.00000000
380,DEXE,0.00000000,0.00000000
381,CKB,0.00000000,0.00000000
382,FIRO,0.00000000,0.00000000
383,LIT,0.00000000,0.00000000
384,PROS,0.00000000,0.00000000
385,VAI,0.00000000,0.00000000
386,SFP,0.00000000,0.00000000
387,FXS,0.00000000,0.00000000
388,DODO,0.00000000,0.00000000
389,AUCTION,0.00000000,0.00000000
390,UFT,0.00000000,0.00000000
391,ACM,0.00000000,0.00000000
392,PHA,0.00000000,0.00000000
393,TVK,0.00000000,0.00000000
394,BADGER,0.00000000,0.00000000
395,FIS,0.00000000,0.00000000
396,QI,0.00000000,0.00000000
397,OM,0.00000000,0.00000000
398,POND,0.00000000,0.00000000
399,ALICE,0.00000000,0.00000000
400,DEGO,0.00000000,0.00000000
401,BIFI,0.00000000,0.00000000
402,LINA,0.00000000,0.00000000
403,PERP,0.00000000,0.00000000
404,RAMP,0.00000000,0.00000000
405,SUPER,0.00000000,0.00000000
406,CFX,0.00000000,0.00000000
407,TKO,0.00000000,0.00000000
408,AUTO,0.00000000,0.00000000
409,EPS,0.00000000,0.00000000
410,PUNDIX,0.00000000,0.00000000
411,TLM,0.00000000,0.00000000
412,1INCHUP,0.00000000,0.00000000
413,1INCHDOWN,0.00000000,0.00000000
414,MIR,0.00000000,0.00000000
415,BAR,0.00000000,0.00000000
416,FORTH,0.00000000,0.00000000
417,EZ,0.00000000,0.00000000
418,AR,0.00000000,0.00000000
419,ICP,0.00000000,0.00000000
420,SHIB,0.00,0.00
421,POLS,0.00000000,0.00000000
422,MASK,0.00000000,0.00000000
423,LPT,0.00000000,0.00000000
424,AGIX,0.00000000,0.00000000
425,ATA,0.00000000,0.00000000
426,NU,0.00000000,0.00000000
427,GTC,0.00000000,0.00000000
428,KLAY,0.00000000,0.00000000
429,TORN,0.00000000,0.00000000
430,KEEP,0.00000000,0.00000000
431,ERN,0.00000000,0.00000000
432,BOND,0.00000000,0.00000000
433,MLN,0.00000000,0.00000000
434,C98,0.00000000,0.00000000
435,FLOW,0.00000000,0.00000000
436,QUICK,0.00000000,0.00000000
437,RAY,0.00000000,0.00000000
438,MINA,0.00000000,0.00000000
439,QNT,0.00000000,0.00000000
440,CLV,0.00000000,0.00000000
441,XEC,0.00,0.00
442,ALPACA,0.00000000,0.00000000
443,FARM,0.00000000,0.00000000
444,VGX,0.00000000,0.00000000
445,MBOX,0.00000000,0.00000000
446,WAXP,0.00000000,0.00000000
447,TRIBE,0.00000000,0.00000000
448,GNO,0.00000000,0.00000000
449,USDP,0.00000000,0.00000000
450,DYDX,0.00000000,0.00000000
451,GALA,0.00000000,0.00000000
452,ILV,0.00000000,0.00000000
453,YGG,0.00000000,0.00000000
454,FIDA,0.00000000,0.00000000
455,AGLD,0.00000000,0.00000000
456,BETA,0.00000000,0.00000000
457,RAD,0.00000000,0.00000000
458,RARE,0.00000000,0.00000000
459,SSV,0.00000000,0.00000000
460,LAZIO,0.00000000,0.00000000
461,MOVR,0.00000000,0.00000000
462,CHESS,0.00000000,0.00000000
463,DAR,0.00000000,0.00000000
464,ACA,0.00000000,0.00000000
465,ASTR,0.00000000,0.00000000
466,BNX,0.00000000,0.00000000
467,RGT,0.00000000,0.00000000
468,CITY,0.00000000,0.00000000
469,ENS,0.00000000,0.00000000
470,PORTO,0.00000000,0.00000000
471,JASMY,0.00000000,0.00000000
472,AMP,0.00000000,0.00000000
473,PLA,0.00000000,0.00000000
474,PYR,0.00000000,0.00000000
475,SANTOS,0.00000000,0.00000000
476,RNDR,0.00000000,0.00000000
477,ALCX,0.00000000,0.00000000
478,MC,0.00000000,0.00000000
479,ANY,0.00000000,0.00000000
480,VOXEL,0.00000000,0.00000000
481,BICO,0.00000000,0.00000000
482,FLUX,0.00000000,0.00000000
483,UST,0.00000000,0.00000000
484,HIGH,0.00000000,0.00000000
485,OOKI,0.00000000,0.00000000
486,CVX,0.00000000,0.00000000
487,PEOPLE,0.00000000,0.00000000
488,SPELL,0.00000000,0.00000000
489,JOE,0.00000000,0.00000000
490,BDOT,0.00000000,0.00000000
491,GLMR,0.00000000,0.00000000
492,ACH,0.00000000,0.00000000
493,IMX,0.00000000,0.00000000
494,LOKA,0.00000000,0.00000000
495,BTTC,0.0,0.0
496,ANC,0.00000000,0.00000000
497,API3,0.00000000,0.00000000
498,XNO,0.00000000,0.00000000
499,WOO,0.00000000,0.00000000
500,ALPINE,0.00000000,0.00000000
501,T,0.00000000,0.00000000
502,NBT,0.00000000,0.00000000
503,KDA,0.00000000,0.00000000
504,APE,0.00000000,0.00000000
505,GMT,0.00000000,0.00000000
506,MOB,0.00000000,0.00000000
507,BSW,0.00000000,0.00000000
508,MULTI,0.00000000,0.00000000
509,REI,0.00000000,0.00000000
510,GAL,0.00000000,0.00000000
511,NEXO,0.00000000,0.00000000
512,EPX,0.00000000,0.00000000
513,LDO,0.00000000,0.00000000
514,USTC,0.00000000,0.00000000
515,LUNC,0.00000000,0.00000000
516,OP,0.00000000,0.00000000
517,LEVER,0.00000000,0.00000000
518,STG,0.00000000,0.00000000
519,POLYX,0.00000000,0.00000000
520,GMX,0.00000000,0.00000000
521,APT,0.00000000,0.00000000
522,OSMO,0.00000000,0.00000000
523,HFT,0.00000000,0.00000000
524,HOOK,0.00000000,0.00000000
525,MAGIC,0.00000000,0.00000000
526,HIFI,0.00000000,0.00000000
527,RPL,0.00000000,0.00000000
528,GFT,0.00000000,0.00000000
529,GNS,0.00000000,0.00000000
530,SYN,0.00000000,0.00000000
531,LQTY,0.00000000,0.00000000
532,ID,0.00000000,0.00000000
533,ARB,0.00000000,0.00000000
534,RDNT,0.00000000,0.00000000
535,EDU,0.00000000,0.00000000
536,WBETH,0.00000000,0.00000000
537,SUI,0.00000000,0.00000000
538,PEPE,0.00,0.00
539,FLOKI,0.00,0.00
540,COMBO,0.00000000,0.00000000
541,NTRN,0.00000000,0.00000000
542,MAV,0.00000000,0.00000000
543,FDUSD,0.00000000,0.00000000
544,PENDLE,0.00000000,0.00000000
545,ARKM,0.00000000,0.00000000
546,WLD,0.00000000,0.00000000
547,CYBER,0.00000000,0.00000000
548,SEI,0.00000000,0.00000000
549,AEUR,0.00000000,0.00000000
550,ORDI,0.00000000,0.00000000
551,MEME,0.00000000,0.00000000
552,TIA,0.00000000,0.00000000
553,BEAMX,0.00000000,0.00000000
554,VIC,0.00000000,0.00000000
555,BLUR,0.00000000,0.00000000
556,VANRY,0.00000000,0.00000000
557,JTO,0.00000000,0.00000000
558,ACE,0.00000000,0.00000000
559,1000SATS,0.00,0.00
560,BONK,0.00,0.00
561,NFP,0.00000000,0.00000000
562,AI,0.00000000,0.00000000
