date,strategy,benchmark
2021-02-02,10923.784432042306,3826.31005859375
2021-02-03,10932.374873962637,3830.169921875
2021-02-04,11056.63016259679,3871.739990234375
2021-02-05,11100.145485991592,3886.830078125
2021-02-08,11180.310511138421,3915.590087890625
2021-02-09,11172.865400826446,3911.22998046875
2021-02-10,11168.000243208111,3909.8798828125
2021-02-11,11186.03444003419,3916.3798828125
2021-02-12,11241.292368989476,3934.830078125
2021-02-16,11231.558414891462,3932.590087890625
2021-02-17,11234.134728723759,3931.330078125
2021-02-18,11186.322819795785,3913.969970703125
2021-02-19,11166.567441553498,3906.7099609375
2021-02-22,11080.677577795565,3876.5
2021-02-23,11094.13317733423,3881.3701171875
2021-02-24,11216.383453367258,3925.429931640625
2021-02-25,10946.116124116888,3829.340087890625
2021-02-26,10889.71468298392,3811.14990234375
2021-03-01,11153.684962676676,3901.820068359375
2021-03-02,11066.649767310388,3870.2900390625
2021-03-03,10920.063696316987,3819.719970703125
2021-03-04,10784.928212261131,3768.469970703125
2021-03-05,10983.335307669415,3841.93994140625
2021-03-08,10928.652318806646,3821.35009765625
2021-03-09,11084.685783567136,3875.43994140625
2021-03-10,11153.684962676674,3898.81005859375
2021-03-11,11266.773495558198,3939.340087890625
2021-03-12,11281.945727936392,3943.340087890625
2021-03-15,11349.22645477573,3968.93994140625
2021-03-16,11334.91208395963,3962.7099609375
2021-03-17,11373.5622497361,3974.1201171875
2021-03-18,11208.080481493183,3915.4599609375
2021-03-19,11187.343520403068,3913.10009765625
2021-03-22,11276.674837278084,3940.590087890625
2021-03-23,11187.91755078025,3910.52001953125
2021-03-24,11131.043057672425,3889.139892578125
2021-03-25,11193.66240312875,3909.52001953125
2021-03-26,11374.048037725664,3974.5400390625
2021-03-29,11368.302275661828,3971.090087890625
2021-03-30,11338.141573403365,3958.550048828125
2021-03-31,11384.101301906707,3972.889892578125
2021-04-01,11507.036593587942,4019.8701171875
2021-04-05,11672.199051747832,4077.909912109375
2021-04-06,11665.30795807564,4073.93994140625
2021-04-07,11678.806314235111,4079.949951171875
2021-04-08,11734.242547396305,4097.169921875
2021-04-09,11819.553832200376,4128.7998046875
2021-04-12,11823.862244032916,4127.990234375
2021-04-13,11858.903569070431,4141.58984375
2021-04-14,11818.404861730676,4124.66015625
2021-04-15,11945.36200491353,4170.419921875
2021-04-16,11985.289411022111,4185.47021484375
2021-04-19,11926.406266451817,4163.259765625
2021-04-20,11839.084510754605,4134.93994140625
2021-04-21,11951.107766977366,4173.419921875
2021-04-22,11841.958301501862,4134.97998046875
2021-04-23,11970.354614346683,4180.169921875
2021-04-26,11995.341765487818,4187.6201171875
2021-04-27,11992.75817393283,4186.72021484375
2021-04-28,11989.309443093058,4183.18017578125
2021-04-29,12065.714614755114,4211.47021484375
2021-04-30,11986.438381491813,4181.169921875
2021-05-03,12012.290671917735,4192.66015625
2021-05-04,11938.182531479744,4164.66015625
2021-05-05,11941.916912935105,4167.58984375
2021-05-06,12037.279642489544,4201.6201171875
2021-05-07,12124.886139087006,4232.60009765625
2021-05-10,12004.820089576344,4188.43017578125
2021-05-11,11897.682004709317,4152.10009765625
2021-05-12,11644.912140236629,4063.0400390625
2021-05-13,11784.797248063116,4112.5
2021-05-14,11965.756003321876,4173.85009765625
2021-05-17,11935.310560163163,4163.2900390625
2021-05-18,11832.47997741334,4127.830078125
2021-05-19,11801.457774731436,4115.68017578125
2021-05-20,11928.415827629626,4159.1201171875
2021-05-21,11918.650033494841,4155.85986328125
2021-05-24,12040.152523521461,4197.0498046875
2021-05-25,12013.438732672099,4188.1298828125
2021-05-26,12037.279642489542,4195.990234375
2021-05-27,12043.599434930562,4200.8798828125
2021-05-28,12065.141494093268,4204.10986328125
2021-06-01,12054.516018965718,4202.0400390625
2021-06-02,12073.470847712095,4208.1201171875
2021-06-03,12028.662818824461,4192.85009765625
2021-06-04,12138.674694438743,4229.89013671875
2021-06-07,12126.897519695483,4226.52001953125
2021-06-08,12129.483840396479,4227.259765625
2021-06-09,12111.387782927535,4219.5498046875
2021-06-10,12167.68551651217,4239.18017578125
2021-06-11,12187.793864304927,4247.43994140625
2021-06-14,12215.080775816135,4255.14990234375
2021-06-15,12192.677216229986,4246.58984375
2021-06-16,12124.600488471417,4223.7001953125
2021-06-17,12120.578636969798,4221.85986328125
2021-06-18,11957.067312145226,4166.4501953125
2021-06-21,12128.24389839315,4224.7900390625
2021-06-22,12193.083858985294,4246.43994140625
2021-06-23,12178.387407727965,4241.83984375
2021-06-24,12250.431404067975,4266.490234375
2021-06-25,12293.946727462777,4280.7001953125
2021-06-28,12318.73010236859,4290.60986328125
2021-06-29,12325.358288308602,4291.7998046875
2021-06-30,12335.732682003345,4297.5
2021-07-01,12404.030470588625,4319.93994140625
2021-07-02,12498.841002933952,4352.33984375
2021-07-06,12476.075376643972,4343.5400390625
2021-07-07,12520.165640131294,4358.1298828125
2021-07-08,12418.1510720381,4320.81982421875
2021-07-09,12550.712061692331,4369.5498046875
2021-07-12,12595.668374179775,4384.6298828125
2021-07-13,12552.729810308163,4369.2099609375
2021-07-14,12571.460849081817,4374.2998046875
2021-07-15,12528.524104640877,4360.02978515625
2021-07-16,12430.253924871742,4327.16015625
2021-07-19,12246.685196313245,4258.490234375
2021-07-20,12422.185659554427,4323.06005859375
2021-07-21,12522.75923855498,4358.68994140625
2021-07-22,12548.98451226877,4367.47998046875
2021-07-23,12678.088583645203,4411.7900390625
2021-07-26,12709.20994529876,4422.2998046875
2021-07-27,12651.286550408224,4401.4599609375
2021-07-28,12646.099353560852,4400.64013671875
2021-07-29,12698.548081557758,4419.14990234375
2021-07-30,12636.87847891249,4395.259765625
2021-08-02,12610.364825437104,4387.16015625
2021-08-03,12712.957972484162,4423.14990234375
2021-08-04,12650.423230554108,4402.66015625
2021-08-05,12730.537311642107,4429.10009765625
2021-08-06,12751.571749647179,4436.52001953125
2021-08-09,12741.198265667772,4432.35009765625
2021-08-10,12757.047326256146,4436.75
