,time,open,high,low,close,tick_volume,spread,real_volume
3607,2021-07-27,1.18048,1.1841,1.177,1.18205,64074,1,0
3608,2021-07-28,1.18205,1.18496,1.17724,1.18455,74703,2,0
3609,2021-07-29,1.18454,1.18944,1.1840600000000001,1.18904,55503,2,0
3610,2021-07-30,1.18904,1.19087,1.18516,1.18669,60297,2,0
3611,2021-08-01,1.1863299999999999,1.1869399999999999,1.18618,1.18663,1145,2,0
3612,2021-08-02,1.18663,1.18969,1.18589,1.18739,46579,2,0
3613,2021-08-03,1.1874,1.18933,1.18535,1.18695,45149,0,0
3614,2021-08-04,1.1869399999999999,1.18996,1.18327,1.18373,52522,2,0
3615,2021-08-05,1.18373,1.18573,1.18281,1.18332,43459,2,0
3616,2021-08-06,1.18332,1.18333,1.17544,1.17607,42164,2,0
3617,2021-08-08,1.1755200000000001,1.17607,1.17423,1.17476,5042,2,0
3618,2021-08-09,1.17475,1.17689,1.1734499999999999,1.1736,46894,2,0
3619,2021-08-10,1.1736,1.17428,1.17096,1.17197,39156,2,0
3620,2021-08-11,1.17197,1.17538,1.17059,1.17417,49496,1,0
3621,2021-08-12,1.17416,1.17483,1.17236,1.17356,36463,2,0
3622,2021-08-13,1.17356,1.18047,1.17302,1.17947,36564,2,0
3623,2021-08-15,1.17932,1.18007,1.17916,1.17942,1025,2,0
3624,2021-08-16,1.17941,1.18007,1.1767400000000001,1.17777,36745,2,0
3625,2021-08-17,1.17776,1.17844,1.17018,1.17093,52860,2,0
3626,2021-08-18,1.17093,1.17426,1.16937,1.17027,51585,2,0
3627,2021-08-19,1.17027,1.17042,1.16658,1.16763,63548,2,0
3628,2021-08-20,1.16764,1.17044,1.16639,1.16995,44060,2,0
3629,2021-08-22,1.16898,1.17003,1.16898,1.16968,2440,2,0
3630,2021-08-23,1.1697,1.17503,1.16951,1.17441,44265,2,0
3631,2021-08-24,1.17441,1.17654,1.17272,1.17527,40053,2,0
3632,2021-08-25,1.17527,1.17746,1.1726,1.17717,45855,2,0
3633,2021-08-26,1.17716,1.17789,1.17459,1.17535,48022,2,0
3634,2021-08-27,1.17535,1.18023,1.17349,1.17959,54561,1,0
3635,2021-08-29,1.17925,1.18004,1.1789399999999999,1.17982,1001,2,0
3636,2021-08-30,1.17982,1.18097,1.17827,1.17964,34908,2,0
3637,2021-08-31,1.17964,1.18451,1.17953,1.18098,60197,2,0
3638,2021-09-01,1.18099,1.18573,1.17937,1.18408,53919,2,0
3639,2021-09-02,1.18407,1.1876,1.18343,1.18737,41838,2,0
3640,2021-09-03,1.18737,1.19089,1.18655,1.18784,55506,0,0
3641,2021-09-05,1.1878,1.18863,1.18749,1.18854,1016,2,0
3642,2021-09-06,1.18855,1.18858,1.18557,1.18733,29078,2,0
3643,2021-09-07,1.18732,1.18852,1.18363,1.18429,56892,1,0
3644,2021-09-08,1.18428,1.1851099999999999,1.1802,1.18188,58875,2,0
3645,2021-09-09,1.18187,1.18411,1.18052,1.18231,64950,2,0
3646,2021-09-10,1.18232,1.18512,1.18093,1.18109,54831,2,0
3647,2021-09-12,1.18115,1.18141,1.18087,1.18116,1369,2,0
3648,2021-09-13,1.18115,1.18171,1.1770100000000001,1.18097,55496,1,0
3649,2021-09-14,1.18096,1.18458,1.17995,1.18024,68075,2,0
3650,2021-09-15,1.18025,1.18319,1.17992,1.1819,62287,0,0
3651,2021-09-16,1.1819,1.18205,1.17503,1.17651,63523,1,0
3652,2021-09-17,1.1764999999999999,1.17889,1.17245,1.17254,61385,2,0
3653,2021-09-19,1.17286,1.17294,1.17233,1.17293,2730,2,0
3654,2021-09-20,1.17293,1.17365,1.17002,1.17267,64391,1,0
3655,2021-09-21,1.17269,1.17487,1.17148,1.17229,63231,1,0
3656,2021-09-22,1.17229,1.17558,1.16843,1.16873,78375,1,0
3657,2021-09-23,1.1687400000000001,1.1750099999999999,1.16835,1.17398,70176,0,0
3658,2021-09-24,1.17398,1.17477,1.1700599999999999,1.17205,51620,2,0
3659,2021-09-26,1.17251,1.17251,1.17092,1.17226,2501,2,0
3660,2021-09-27,1.17226,1.17252,1.16846,1.16956,63992,2,0
3661,2021-09-28,1.16957,1.17033,1.16682,1.16861,82316,2,0
3662,2021-09-29,1.16861,1.169,1.15894,1.16015,80658,2,0
3663,2021-09-30,1.16015,1.16099,1.15625,1.15737,82246,0,0
3664,2021-10-01,1.15736,1.16073,1.15628,1.1593,73261,2,0
3665,2021-10-03,1.1595900000000001,1.16111,1.15937,1.16066,2366,2,0
3666,2021-10-04,1.16066,1.164,1.15876,1.1616,61025,2,0
3667,2021-10-05,1.16161,1.162,1.15805,1.15956,53205,2,0
3668,2021-10-06,1.15956,1.15978,1.1529099999999999,1.15551,74104,0,0
3669,2021-10-07,1.1555,1.15721,1.15473,1.1559300000000001,54483,2,0
3670,2021-10-08,1.15592,1.15859,1.15414,1.15744,58547,0,0
3671,2021-10-10,1.15672,1.1576,1.15635,1.1565400000000001,2139,2,0
3672,2021-10-11,1.15655,1.15867,1.15478,1.15533,44423,2,0
3673,2021-10-12,1.15533,1.15703,1.15241,1.15304,56394,2,0
3674,2021-10-13,1.15305,1.15994,1.15298,1.1596899999999999,67294,2,0
3675,2021-10-14,1.15968,1.16244,1.1584,1.15904,50478,2,0
3676,2021-10-15,1.15904,1.16187,1.15881,1.1599,53044,2,0
3677,2021-10-17,1.15907,1.16052,1.15907,1.15964,2711,2,0
3678,2021-10-18,1.15965,1.16224,1.15717,1.16132,58025,2,0
3679,2021-10-19,1.16133,1.16693,1.16132,1.16311,58686,2,0
3680,2021-10-20,1.16312,1.16587,1.16168,1.16523,57051,1,0
3681,2021-10-21,1.16523,1.1667399999999999,1.16195,1.16247,56712,2,0
3682,2021-10-22,1.1625,1.16556,1.16212,1.16449,60386,2,0
3683,2021-10-24,1.16398,1.16453,1.16355,1.16391,1787,2,0
3684,2021-10-25,1.16392,1.16651,1.15907,1.16087,54450,1,0
3685,2021-10-26,1.16087,1.16257,1.15849,1.15964,52014,2,0
3686,2021-10-27,1.15964,1.16261,1.15849,1.1598600000000001,59850,2,0
3687,2021-10-28,1.15985,1.16921,1.15823,1.16822,84990,2,0
3688,2021-10-29,1.16822,1.16901,1.15351,1.15617,69819,2,0
3689,2021-10-31,1.15553,1.15636,1.15553,1.15562,2495,2,0
3690,2021-11-01,1.15563,1.16092,1.15459,1.1599599999999999,57819,2,0
3691,2021-11-02,1.1599599999999999,1.16134,1.15751,1.1579,58624,2,0
3692,2021-11-03,1.15791,1.16164,1.15623,1.16154,75100,0,0
3693,2021-11-04,1.16154,1.16162,1.15283,1.15554,65866,1,0
3694,2021-11-05,1.15555,1.15733,1.15133,1.15678,68038,2,0
3695,2021-11-07,1.15578,1.15698,1.15549,1.1568,4979,2,0
3696,2021-11-08,1.1568,1.15951,1.15505,1.15878,50886,2,0
3697,2021-11-09,1.15879,1.16087,1.15696,1.1594,62159,0,0
3698,2021-11-10,1.1594,1.15952,1.14736,1.14857,80493,2,0
3699,2021-11-11,1.14857,1.14876,1.14429,1.14475,51289,2,0
3700,2021-11-12,1.14476,1.14621,1.14329,1.14434,50566,2,0
3701,2021-11-14,1.14455,1.1446,1.14409,1.14413,770,2,0
3702,2021-11-15,1.14413,1.14639,1.13563,1.1367,58451,2,0
3703,2021-11-16,1.1367,1.13857,1.1309,1.13179,69501,0,0
3704,2021-11-17,1.1318,1.1332200000000001,1.12634,1.13179,68045,2,0
3705,2021-11-18,1.13179,1.13741,1.13137,1.13677,57530,2,0
3706,2021-11-19,1.13678,1.13692,1.12498,1.12812,81969,1,0
3707,2021-11-21,1.12908,1.12908,1.12718,1.12753,965,2,0
3708,2021-11-22,1.12754,1.12904,1.12308,1.12418,55773,0,0
3709,2021-11-23,1.12417,1.12751,1.12259,1.1244399999999999,78723,2,0
3710,2021-11-24,1.12445,1.12553,1.1186099999999999,1.12025,76717,2,0
3711,2021-11-25,1.12027,1.12297,1.12027,1.12092,36159,2,0
3712,2021-11-26,1.12092,1.13307,1.12068,1.13073,107483,2,0
3713,2021-11-28,1.13001,1.13123,1.12804,1.12926,4037,2,0
3714,2021-11-29,1.12926,1.13005,1.12584,1.12927,72044,2,0
3715,2021-11-30,1.12926,1.13829,1.12351,1.1329799999999999,117623,1,0
3716,2021-12-01,1.1329799999999999,1.13596,1.13025,1.1319,92404,2,0
3717,2021-12-02,1.13191,1.1347800000000001,1.12954,1.13058,75411,1,0
3718,2021-12-03,1.1306,1.13333,1.12666,1.13083,85851,2,0
3719,2021-12-05,1.13036,1.13105,1.13012,1.13041,2146,2,0
3720,2021-12-06,1.13041,1.13101,1.12665,1.1283400000000001,55169,2,0
3721,2021-12-07,1.12833,1.12984,1.12273,1.12724,57279,2,0
3722,2021-12-08,1.12726,1.13548,1.12665,1.13442,73183,2,0
3723,2021-12-09,1.13441,1.13443,1.12784,1.12936,54068,2,0
3724,2021-12-10,1.1293199999999999,1.1324,1.12652,1.13169,62047,2,0
3725,2021-12-12,1.13098,1.13193,1.13032,1.13107,1781,2,0
3726,2021-12-13,1.13107,1.1314,1.12601,1.12835,53558,2,0
3727,2021-12-14,1.12835,1.13238,1.12531,1.12575,53062,2,0
3728,2021-12-15,1.12575,1.12991,1.12216,1.12903,74821,2,0
3729,2021-12-16,1.12904,1.13604,1.12812,1.13337,74931,2,0
3730,2021-12-17,1.13336,1.13489,1.1235,1.12364,57323,2,0
3731,2021-12-19,1.1238299999999999,1.12441,1.12345,1.12429,1547,2,0
3732,2021-12-20,1.12429,1.13038,1.12364,1.12771,62053,2,0
3733,2021-12-21,1.12771,1.1302699999999999,1.12607,1.1287099999999999,52977,2,0
3734,2021-12-22,1.12872,1.13424,1.12644,1.13266,52537,0,0
3735,2021-12-23,1.13263,1.13422,1.12901,1.13226,48385,2,0
3736,2021-12-24,1.13228,1.13434,1.13035,1.13208,41884,2,0
3737,2021-12-26,1.13191,1.1326,1.13104,1.13233,785,2,0
3738,2021-12-27,1.13233,1.13346,1.13028,1.13294,32344,2,0
3739,2021-12-28,1.13293,1.13334,1.12894,1.1313,36627,2,0
3740,2021-12-29,1.13131,1.1368800000000001,1.12737,1.13596,47127,1,0
3741,2021-12-30,1.13596,1.13598,1.12985,1.13223,44988,2,0
3742,2021-12-31,1.13221,1.13863,1.13031,1.13695,40107,2,0
3743,2022-01-02,1.13731,1.13782,1.13693,1.13728,1320,2,0
3744,2022-01-03,1.13728,1.13756,1.12796,1.13019,53552,2,0
3745,2022-01-04,1.13019,1.13225,1.12723,1.12827,59591,0,0
3746,2022-01-05,1.12828,1.13466,1.12769,1.13105,65361,2,0
3747,2022-01-06,1.13106,1.13318,1.12847,1.12949,70709,0,0
3748,2022-01-07,1.12949,1.13648,1.12901,1.13613,61579,1,0
3749,2022-01-09,1.13514,1.13614,1.13497,1.13535,2828,2,0
3750,2022-01-10,1.13535,1.13582,1.12851,1.13301,63873,0,0
3751,2022-01-11,1.13299,1.13754,1.1313,1.13659,64671,0,0
3752,2022-01-12,1.13658,1.14527,1.13547,1.14395,71374,0,0
3753,2022-01-13,1.14394,1.14816,1.14358,1.14565,68287,2,0
3754,2022-01-14,1.14563,1.1482700000000001,1.13985,1.1415,70354,1,0
3755,2022-01-16,1.14118,1.14163,1.14056,1.14113,1870,2,0
3756,2022-01-17,1.14113,1.14344,1.13919,1.141,41738,2,0
3757,2022-01-18,1.141,1.14215,1.13147,1.13287,82967,2,0
3758,2022-01-19,1.13292,1.13571,1.13189,1.1343,66250,0,0
3759,2022-01-20,1.13429,1.1369,1.13032,1.1313,68607,2,0
3760,2022-01-21,1.13132,1.13596,1.13008,1.13437,66711,2,0
3761,2022-01-23,1.13406,1.1345,1.13367,1.13411,1667,2,0
3762,2022-01-24,1.13411,1.13411,1.1290499999999999,1.1323699999999999,78927,2,0
3763,2022-01-25,1.13239,1.13241,1.12632,1.1303,66607,2,0
3764,2022-01-26,1.13029,1.13108,1.12352,1.12408,84270,2,0
3765,2022-01-27,1.12408,1.1243400000000001,1.11318,1.11446,88110,0,0
3766,2022-01-28,1.11447,1.11737,1.11214,1.11477,81620,0,0
3767,2022-01-30,1.11428,1.11525,1.11382,1.11519,1928,2,0
3768,2022-01-31,1.11519,1.12478,1.11441,1.12291,79964,2,0
3769,2022-02-01,1.1229,1.12787,1.12209,1.1273,75414,2,0
3770,2022-02-02,1.1273,1.133,1.12666,1.12994,63396,2,0
3771,2022-02-03,1.12994,1.1451500000000001,1.12672,1.14356,99532,2,0
3772,2022-02-04,1.14354,1.14838,1.14115,1.14508,94178,2,0
3773,2022-02-06,1.14628,1.14634,1.14514,1.14545,1896,2,0
3774,2022-02-07,1.14545,1.14588,1.1415,1.14411,76001,2,0
3775,2022-02-08,1.14412,1.14487,1.13962,1.14206,67923,2,0
3776,2022-02-09,1.14207,1.14479,1.14024,1.14209,59568,2,0
